,w5_p_outcome,w5_hhid,pid,w5_p_proxyassent,w5_p_intrv_d,w5_p_intrv_m,w5_p_intrv_y,w5_p_intrv_c,w5_p_refexpl,w5_p_refexpl_o,w5_p_refint,w5_p_refgen,w5_p_refage,w5_p_respid,w5_p_resprox,w5_p_resprox_o,w5_p_sample,w5_p_duration,w5_p_dob_m,w5_p_dob_y,w5_p_gen,w5_p_popgrp,w5_p_popgrp_o,w5_p_parhpid,w5_p_mar,w5_p_mary_m,w5_p_mary_l,w5_p_evmar,w5_p_curmarst,w5_p_timewid,w5_p_timediv,w5_p_lng,w5_p_lng_o,w5_p_slpw,w5_p_slpm,w5_p_lvevoth,w5_p_brnprov,w5_p_brnprov_flg,w5_p_brndc_2001,w5_p_brndc_2001_flg,w5_p_brndc_2011,w5_p_brndc_2011_flg,w5_p_brncc,w5_p_brncc_flg,w5_p_lv94prov,w5_p_lv94prov_flg,w5_p_lv15prov,w5_p_lv15prov_flg,w5_p_moveyr,w5_p_lvbfprov,w5_p_lvbfdc_2001,w5_p_lvbfdc_2011,w5_p_lvbfcc,w5_p_emactcur,w5_p_emactcur_o,w5_p_em1occ_isco_c,w5_p_em1prod_c,w5_p_em1inc_brac1,w5_p_em1inc_brac2,w5_p_em1inc_brac3,w5_p_em1inc_brac4,w5_p_em1inc_brac5,w5_p_em1inc_brac6,w5_p_em1inc_cat,w5_p_incgovpen,w5_p_incgovpen_v,w5_p_incdis,w5_p_incdis_v,w5_p_incchld,w5_p_incchld_v,w5_p_incfos,w5_p_incfos_v,w5_p_inccare,w5_p_inccare_v,w5_p_incaid,w5_p_incaid_v,w5_p_incwar,w5_p_incwar_v,w5_p_incuif,w5_p_incuif_v,w5_p_incwc,w5_p_incwc_v,w5_p_incpfnd,w5_p_incpfnd_v,w5_p_incret,w5_p_incret_v,w5_p_incretp,w5_p_incretp_v,w5_p_incrnt,w5_p_incrnt_v,w5_p_incint,w5_p_incint_v,w5_p_incretr,w5_p_incretr_v,w5_p_incinh,w5_p_incinh_v,w5_p_inclob,w5_p_inclob_v,w5_p_incgif,w5_p_incgif_v,w5_p_incloan,w5_p_incloan_v,w5_p_incsale,w5_p_incsale_v,w5_p_inco,w5_p_inco_o,w5_p_inco_v,w5_p_grcur,w5_p_grcurtyp,w5_p_grcurecpid,w5_p_grcurecrel,w5_p_edschgrd,w5_p_edschgrd_flg,w5_p_edschgrd_o,w5_p_edschyr,w5_p_edschyr_flg,w5_p_edschage,w5_p_edter,w5_p_edter_flg,w5_p_edterlev,w5_p_edterlev_o,w5_p_edteryr,w5_p_ed17cur,w5_p_ed17curatt,w5_p_ed17curlev,w5_p_ed17curlev_o,w5_p_ed17cursub,w5_p_ed17cursub_o,w5_p_ed17curmat,w5_p_ed17wdex,w5_p_hldes,w5_p_hltb,w5_p_hlbp,w5_p_hldia,w5_p_hlstrk,w5_p_hlast,w5_p_hlhrt,w5_p_hlcan,w5_p_hlser,w5_p_hlser1,w5_p_hlser2,w5_p_hlser3,w5_p_hlser4,w5_p_hlser_o,w5_p_hlvisaid,w5_p_hlhraid,w5_p_intlng1,w5_p_intlng2,w5_p_intlng3,w5_p_intlng4,w5_p_intresp,w5_p_intrespact,w5_p_intresphear,w5_p_intrespque,w5_p_intresppid1,w5_p_intresppid2,w5_p_intresppid3,w5_p_intrvinfo
421,Successfully Interviewed,502901,320303,Yes,12th,July,2017.0,65,,,,,,724833.0,Temporarily unwell,,2008 sample,9.0,October,1932.0,Female,African,,"No, spouse or partner is deceased",,,,,,2.0,,IsiXhosa,,7 Nights,30 Nights,No,,,,,,,,,,,,,,,,,,Unemployed but not actively searching for a job in the last four weeks.,,,,,,,,,,,Yes,1600.0,No,,Yes,350.0,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,No schooling,Response from historical data,,,,,,,,,,,,,,,,,,Poor,No,No,No,No,No,No,No,No,,,,,,No,No,IsiXhosa,,,,Friendly,Very attentive,1+ persons within hearing range for all  of the interview,No,,,,Good
422,Successfully Interviewed,502926,501184,Yes,25th,July,2017.0,106,,,,,,301440.0,Unable to be contacted,,2008 sample,14.0,May,1985.0,Female,African,,"No, no spouse or partner",,,,No,,,,Setswana,,7 Nights,30 Nights,No,,,,,,,,,,,,,,,,,,Working for pay,,Professionals,"Community, social and personal services",Don't know,,,,,,Don't Know,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Surveyed,,Don't know,Surveyed,18.0,Yes,Surveyed,Certificate requiring Grade 12/Std. 10,,2008.0,,,,,,,,,Excellent,No,No,No,No,No,No,No,No,,,,,,Yes,No,Setswana,English,,,Friendly,Very attentive,No other person within hearing range at any time,No,,,,Very good
423,Successfully Interviewed,502931,301735,Yes,10th,February,2017.0,101,,,,,,301766.0,Temporarily unwell,,2008 sample,16.0,June,1968.0,Male,African,,"No, no spouse or partner",,,,No,,,,IsiZulu,,7 Nights,7 Nights,No,,,,,,,,,,,,,,,,,,Other (specify),-3,,,,,,,,,,No,,Yes,1500.0,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,Grade 2 (previously Sub B/Class 2),Surveyed,,1977.0,Surveyed,,No,Surveyed,,,,,,,,,,,,Poor,No,No,No,No,No,No,Yes,No,,,,,,No,No,IsiZulu,English,,,Friendly,Very attentive,No other person within hearing range at any time,No,,,,Very good
424,Successfully Interviewed,502933,733302,Yes,21st,March,2017.0,135,,,,,,315511.0,Refused but allowed a proxy,,2008 sample,6.0,February,1981.0,Male,African,,315511.0,Formally married,6.0,,,,,,IsiZulu,,7 Nights,30 Nights,No,,,,,,,,,,,,,,,,,,Unemployed but not actively searching for a job in the last four weeks.,,,,,,,,,,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Surveyed,,2003.0,Surveyed,,No,Surveyed,,,,,,,,,,,,Excellent,No,No,No,No,No,No,No,No,,,,,,No,No,IsiZulu,,,,Friendly,Very attentive,No other person within hearing range at any time,No,,,,Very good
425,Successfully Interviewed,502941,405628,Yes,30th,March,2017.0,144,,,,,,714052.0,Studying away from home,,2008 sample,9.0,January,1999.0,Male,African,,"No, no spouse or partner",,,,No,,,,Sepedi,,0 Nights,0 Nights,No,,,,,,,,,,,,,,,,,,"Full-time scholar or student at school, university, college or another educational institution",,,,,,,,,,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Surveyed,,2016.0,Surveyed,,No,Surveyed,,,,Yes,,N1 (NATED)/NTC 1,,,,,,Good,No,No,No,No,No,No,No,No,,,,,,No,No,Sepedi,,,,Friendly,Very attentive,No other person within hearing range at any time,No,,,,Very good
426,Successfully Interviewed,502944,412603,Yes,25th,October,2017.0,117,,,,,,324122.0,Temporarily away from home for other reasons  (specify),The Respondent Away From Home To Visit Her Ill Grandmother Who Need To See Her In The Eastern Cape. She Left Last Night.,2008 sample,22.0,November,1998.0,Female,African,,"No, no spouse or partner",,,,No,,,,IsiXhosa,,5 Nights,28 Nights,No,,,,,,,,,,,,,,,,,,"Full-time scholar or student at school, university, college or another educational institution",,,,,,,,,,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,Grade 10 (Std. 8/Form 3),Surveyed,,2016.0,Surveyed,,No,Surveyed,,,,Yes,,Grade 11 (Std. 9/Form 4),,,,,,Good,No,No,No,No,No,No,No,No,,,,,,No,No,IsiXhosa,Sesotho,,,Friendly,Very attentive,1+ persons within hearing range for all  of the interview,No,,,,Good
427,Successfully Interviewed,502950,311467,Yes,27th,July,2017.0,74,,,,,,311444.0,Permanently too unwell or disabled,,2008 sample,14.0,June,1942.0,Male,White,,311444.0,Formally married,52.0,,,,,,Afrikaans,,7 Nights,31 Nights,Yes,Northern Cape,Surveyed,Siyanda District Municipality,Surveyed,Siyanda (DC8),Surveyed,,,Northern Cape,Response from historical data,Northern Cape,Derived,1997.0,Northern Cape,Kgalagadi District Municipality,John Taolo Gaetsewe (DC45),,Self-employed,,Elementary occupations,"Agriculture, hunting, forestry and fishing",More than,,More than,,About equal to,,"R12,000",No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Surveyed,,1960.0,Surveyed,,Yes,Surveyed,Diploma requiring Grade 12/Std. 10,,1963.0,,,,,,,,,Good,No,Yes,No,No,No,No,No,Yes,Physically handicapped,Other,,,The Respondent Says He Has A Hip Problem,No,No,English,,,,Friendly,Very attentive,No other person within hearing range at any time,No,,,,Very good
428,Successfully Interviewed,502950,583072,Yes,27th,July,2017.0,74,,,,,,311444.0,Temporarily away from home for other reasons  (specify),"He Said He Is Too Busy To To The Interview As Heis Working Monday To Sunday,He Asked Her Mom To Answer On His Behalf",2008 sample,28.0,March,1972.0,Male,White,,"No, no spouse or partner",,,,No,,,,Afrikaans,,7 Nights,31 Nights,Yes,Northern Cape,Surveyed,Frances Baard District Municipality,Surveyed,Frances Baard (DC9),Surveyed,,,Northern Cape,Surveyed,Northern Cape,Derived,1997.0,Northern Cape,Kgalagadi District Municipality,John Taolo Gaetsewe (DC45),,Working for pay,,Craft and related trades workers,Mining and Quarrying,More than,,More than,,More than,Less than,"R12,001-R23,999",No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Surveyed,,1994.0,Surveyed,,Yes,Surveyed,N4 (NATED),,Don't know,,,,,,,,,Excellent,No,No,No,No,No,No,No,No,,,,,,No,No,English,,,,Friendly,Very attentive,No other person within hearing range at any time,No,,,,Very good
429,Successfully Interviewed,502961,403422,Yes,20th,February,2017.0,119,,,,,,731425.0,Refused but allowed a proxy,,2008 sample,6.0,December,1994.0,Male,African,,"No, no spouse or partner",,,,No,,,,Sepedi,,7 Nights,30 Nights,No,,,,,,,,,,,,,,,,,,Unemployed but not actively searching for a job in the last four weeks.,,,,,,,,,,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,Grade 9 (Std. 7/Form 2),Surveyed,,2013.0,Surveyed,,No,Surveyed,,,,No,No,,,,,,,Excellent,No,No,No,No,No,No,No,No,,,,,,No,No,Setswana,,,,Friendly,Very attentive,No other person within hearing range at any time,No,,,,Very good
430,Successfully Interviewed,502992,581911,Yes,10th,March,2017.0,53,,,,,,321819.0,"In an institution (e.g. hospital, prison)",,2008 sample,10.0,August,1974.0,Female,African,,"No, no spouse or partner",,,,No,,,,IsiXhosa,,7 Nights,30 Nights,No,,,,,,,,,,,,,,,,,,Long term sick or disabled,,,,,,,,,,,No,,Yes,1500.0,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,Grade 7 (Std. 5),Surveyed,,Don't know,Surveyed,Don't know,No,Surveyed,,,,,,,,,,,,Fair,No,No,Yes,No,No,No,No,Yes,Psychological or psychiatric disorder,,,,,No,Refused,IsiXhosa,,,,Friendly,Very attentive,No other person within hearing range at any time,No,,,,Good
431,Successfully Interviewed,502992,581912,Yes,10th,March,2017.0,53,,,,,,321819.0,Unable to be contacted,,2008 sample,15.0,September,1962.0,Male,African,,"No, no spouse or partner",,,,No,,,,IsiXhosa,,7 Nights,30 Nights,No,,,,,,,,,,,,,,,,,,Unemployed but not actively searching for a job in the last four weeks.,,,,,,,,,,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,Grade 2 (previously Sub B/Class 2),Surveyed,,Don't know,Surveyed,Don't know,No,Surveyed,,,,,,,,,,,,Good,No,No,No,No,No,No,No,No,,,,,,No,No,IsiXhosa,,,,Friendly,Very attentive,No other person within hearing range at any time,No,,,,Good
432,Successfully Interviewed,502993,793583,Yes,9th,June,2017.0,65,,,,,,721571.0,Permanently too unwell or disabled,,2008 sample,11.0,May,1970.0,Male,African,,"No, no spouse or partner",,,,Yes,Widow/Widower,Don't know,,IsiXhosa,,7 Nights,30 Nights,No,,,,,,,,,,,,,,,,,,Long term sick or disabled,,,,,,,,,,,No,,Yes,1600.0,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,Grade 9 (Std. 7/Form 2),Surveyed,,Don't know,Surveyed,Don't know,No,Surveyed,,,,,,,,,,,,Poor,Yes,No,No,Yes,No,No,No,Yes,"Problems with sight, hearing or speech",Psychological or psychiatric disorder,,,,No,No,IsiXhosa,,,,Friendly,Somewhat attentive,1+ persons within hearing range for part of the interview,No,,,,Good
433,Successfully Interviewed,503000,707211,Yes,24th,February,2017.0,66,,,,,,722580.0,Studying away from home,,2008 sample,15.0,March,1997.0,Female,African,,"No, no spouse or partner",,,,No,,,,IsiXhosa,,0 Nights,0 Nights,Yes,Eastern Cape,Surveyed,Amatole District Municipality,Surveyed,Amathole (DC12),Surveyed,,,,,Missing,Derived,2016.0,Western Cape,City Of Cape Town Metropolitan Municipality,City of Cape Town (CPT),,"Full-time scholar or student at school, university, college or another educational institution",,,,,,,,,,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Surveyed,,2015.0,Surveyed,,No,Surveyed,,,,Yes,,National Certificate Vocational 2 (NCV 2),,,,,,Very good,No,No,No,No,No,No,No,No,,,,,,No,No,IsiXhosa,,,,Friendly,Very attentive,No other person within hearing range at any time,No,,,,Good
434,Successfully Interviewed,503002,608613,Yes,25th,September,2017.0,16,,,,,,616840.0,Away on business/for work,,2017 sample,9.0,November,1976.0,Female,White,,616840.0,Living together,,7.0,Yes,Divorced or separated,,6.0,English,,7 Nights,30 Nights,Yes,Eastern Cape,Surveyed,Nelson Mandela Metropolitan Municipality,Surveyed,Nelson Mandela Bay (NMA),Surveyed,,,Eastern Cape,Surveyed,Eastern Cape,Surveyed,2013.0,Eastern Cape,Nelson Mandela Metropolitan Municipality,Nelson Mandela Bay (NMA),,Working for pay,,Technicians and associate professionals,"Community, social and personal services",Refused,,,,,,Refused,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Surveyed,,1994.0,Surveyed,,No,Surveyed,,,,,,,,,,,,Good,No,No,No,No,No,No,No,No,,,,,,Yes,No,Afrikaans,,,,Friendly,Very attentive,No other person within hearing range at any time,No,,,,Very good
435,Successfully Interviewed,503017,779234,Yes,7th,June,2017.0,125,,,,,,717935.0,Studying away from home,,2008 sample,6.0,April,2002.0,Female,African,,"No, no spouse or partner",,,,No,,,,Setswana,,7 Nights,30 Nights,No,,,,,,,,,,,,,,,,,,"Full-time scholar or student at school, university, college or another educational institution",,,,,,,,,,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,No,,,,Grade 9 (Std. 7/Form 2),Surveyed,,2016.0,Surveyed,,No,Surveyed,,,,Yes,,Grade 10 (Std. 8/Form 3),,,,,,Good,No,No,No,No,No,No,No,No,,,,,,No,No,Setswana,,,,Friendly,Not at all attentive,No other person within hearing range at any time,No,,,,Very good
436,Successfully Interviewed,503035,501681,Yes,16th,June,2017.0,135,,,,,,,Permanently too unwell or disabled,,2008 sample,16.0,January,1970.0,Male,African,,"No, no spouse or partner",,,,No,,,,IsiZulu,,7 Nights,30 Nights,No,,,,,,,,,,,,,,,,,,Long term sick or disabled,,,,,,,,,,,No,,Yes,1600.0,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,No schooling,Response from historical data,,,,,,,,,,,,,,,,,,Excellent,No,No,No,No,No,No,No,No,,,,,,No,No,IsiZulu,,,,Friendly,Very attentive,No other person within hearing range at any time,No,,,,Good
437,Successfully Interviewed,503049,615201,Yes,8th,September,2017.0,27,,,,,,687496.0,Refused but allowed a proxy,,2017 sample,14.0,February,1964.0,Female,Asian/Indian,,667789.0,Formally married,28.0,,,,,,English,,7 Nights,30 Nights,No,,,,,,,,,,,,,,,,,,Working for pay,,Service and sales workers,"Financial intermediation, insurance, real estate and business services",More than,,About equal to,,,,"R6,000",No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Surveyed,,Don't know,Surveyed,Don't know,No,Surveyed,,,,,,,,,,,,Very good,No,Yes,No,No,No,No,No,No,,,,,,No,No,English,,,,Friendly,Somewhat attentive,No other person within hearing range at any time,No,,,,Good
438,Successfully Interviewed,503068,633476,Yes,9th,August,2017.0,16,,,,,,645313.0,Away on business/for work,,2017 sample,10.0,March,1970.0,Male,African,,645313.0,Formally married,14.0,,,,,,English,,7 Nights,30 Nights,Yes,Outside RSA,Surveyed,,,,,Zimbabwe,Surveyed,Outside RSA,Surveyed,Gauteng,Surveyed,2006.0,Gauteng,Don't Know,Don't Know,,Working for pay,,Craft and related trades workers,Manufacturing,Refused,,,,,,Refused,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Surveyed,,Don't know,Surveyed,17.0,Yes,Surveyed,Diploma requiring Grade 12/Std. 10,,Don't know,,,,,,,,,Excellent,No,No,No,No,No,No,No,No,,,,,,No,No,English,,,,Friendly,Very attentive,No other person within hearing range at any time,No,,,,Very good
439,Successfully Interviewed,503068,676638,Yes,9th,August,2017.0,16,,,,,,645313.0,Has language problems,,2017 sample,9.0,May,1948.0,Female,African,,"No, spouse or partner is deceased",,,,,,18.0,,English,,7 Nights,30 Nights,Yes,Outside RSA,Surveyed,,,,,Zimbabwe,Surveyed,Outside RSA,Surveyed,Gauteng,Surveyed,2015.0,Gauteng,West Rand District Municipality,West Rand (DC48),,Unemployed but not actively searching for a job in the last four weeks.,,,,,,,,,,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,Don't know,Surveyed,,Don't know,Surveyed,Don't know,No,Surveyed,,,,,,,,,,,,Poor,No,Yes,Yes,Yes,No,No,No,No,,,,,,No,No,English,,,,Friendly,Very attentive,No other person within hearing range at any time,No,,,,Very good
440,Successfully Interviewed,503070,725816,Yes,27th,May,2017.0,97,,,,,,725815.0,Refused but allowed a proxy,,2008 sample,12.0,April,1976.0,Male,African,,725815.0,Formally married,10.0,,,,,,Isitsonga,,7 Nights,30 Nights,Yes,North West,Surveyed,Bojanala District Municipality,Surveyed,Bojanala (DC37),Surveyed,,,North West,Surveyed,Gauteng,Derived,2003.0,Gauteng,Ekurhuleni Metropolitan Municipality,Ekurhuleni (EKU),,Working for pay,,"Plant and machine operators, and assemblers",Manufacturing,Don't know,,,,,,Don't Know,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Surveyed,,2000.0,Surveyed,,Yes,Surveyed,N3 (NATED)/NTC 3,,2002.0,,,,,,,,,Excellent,No,No,No,No,No,No,No,No,,,,,,No,No,Setswana,,,,Friendly,Very attentive,No other person within hearing range at any time,No,,,,Very good
441,Successfully Interviewed,503083,322605,Yes,25th,May,2017.0,8,,,,,,324159.0,Away on business/for work,,2008 sample,14.0,October,1964.0,Male,Coloured,,324159.0,Formally married,25.0,,,,,,Afrikaans,,7 Nights,31 Nights,Yes,Western Cape,Surveyed,Central Karoo District Municipality,Surveyed,Central Karoo (DC5),Surveyed,,,Western Cape,Response from historical data,Western Cape,Derived,1986.0,Western Cape,Central Karoo District Municipality,Central Karoo (DC5),,Self-employed,,"Plant and machine operators, and assemblers","Transport, storage and communication",More than,,About equal to,,,,"R6,000",No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,Grade 8 (Std. 6/Form 1),Surveyed,,Don't know,Surveyed,14.0,No,Surveyed,,,,,,,,,,,,Very good,No,No,No,No,Yes,No,No,No,,,,,,No,No,Afrikaans,,,,Friendly,Somewhat attentive,1+ persons within hearing range for part of the interview,Yes,324159.0,411827.0,,Very good
442,Successfully Interviewed,503134,410623,Yes,5th,April,2017.0,61,,,,,,320064.0,Temporarily away from home for other reasons  (specify),He Is Said We Should His Mother,2008 sample,10.0,July,1995.0,Male,African,,"No, no spouse or partner",,,,No,,,,IsiXhosa,,7 Nights,30 Nights,Yes,Western Cape,Surveyed,City Of Cape Town Metropolitan Municipality,Surveyed,City of Cape Town (CPT),Surveyed,,,,,Eastern Cape,Derived,1999.0,Western Cape,City Of Cape Town Metropolitan Municipality,City of Cape Town (CPT),,Unemployed but not actively searching for a job in the last four weeks.,,,,,,,,,,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,Grade 11 (Std. 9/Form 4),Surveyed,,2014.0,Surveyed,,No,Surveyed,,,,No,No,,,,,,,Very good,No,No,No,No,No,No,No,No,,,,,,No,No,IsiXhosa,,,,Friendly,Very attentive,1+ persons within hearing range for part of the interview,No,,,,Good
443,Successfully Interviewed,503135,311386,Yes,7th,May,2017.0,90,,,,,,302736.0,Studying away from home,,2008 sample,20.0,November,1992.0,Female,African,,"No, no spouse or partner",,,,No,,,,IsiZulu,,7 Nights,31 Nights,No,,,,,,,,,,,,,,,,,,"Full-time scholar or student at school, university, college or another educational institution",,,,,,,,,,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Surveyed,,2009.0,Surveyed,,No,Surveyed,,,,Yes,,Diploma requiring Grade 12/Std. 10,,Protection,,No,,Very good,No,No,No,No,No,No,No,No,,,,,,No,No,IsiZulu,,,,Friendly,Very attentive,No other person within hearing range at any time,No,,,,Very good
444,Successfully Interviewed,503141,735183,Yes,16th,June,2017.0,32,,,,,,312049.0,Refused but allowed a proxy,,2008 sample,6.0,June,1956.0,Female,African,,"No, no spouse or partner",,,,No,,,,IsiZulu,,7 Nights,30 Nights,No,,,,,,,,,,,,,,,,,,Unemployed but not actively searching for a job in the last four weeks.,,,,,,,,,,,Yes,1600.0,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,No schooling,Surveyed,,,,,,,,,,,,,,,,,,Fair,No,No,No,No,No,No,No,No,,,,,,No,No,IsiXhosa,IsiZulu,,,Friendly,Not at all attentive,No other person within hearing range at any time,Yes,720105.0,,,Very good
445,Successfully Interviewed,503143,310346,Yes,6th,February,2017.0,113,,,,,,310345.0,Refused but allowed a proxy,,2008 sample,14.0,April,1982.0,Male,African,,"No, no spouse or partner",,,,No,,,,Sesotho,,6 Nights,Don't know,Yes,Free State,Surveyed,Thabo Mofutsanyane District Municipality,Surveyed,Thabo Mofutsanyane (DC19),Surveyed,,,Gauteng,Response from historical data,Gauteng,Surveyed,1989.0,Free State,Thabo Mofutsanyane District Municipality,Thabo Mofutsanyane (DC19),,Unemployed and actively searching for a job in the last four weeks,,,,,,,,,,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Surveyed,,Don't know,Surveyed,Don't know,No,Surveyed,,,,,,,,,,,,Good,No,No,No,No,No,No,No,No,,,,,,No,No,Sesotho,English,,,Friendly,Somewhat attentive,No other person within hearing range at any time,No,,,,"Neither good, nor bad"
446,Successfully Interviewed,503144,405371,Yes,24th,May,2017.0,125,,,,,,323977.0,Studying away from home,,2008 sample,8.0,October,2001.0,Male,African,,"No, no spouse or partner",,,,No,,,,Setswana,,7 Nights,30 Nights,Yes,Northern Cape,Surveyed,Frances Baard District Municipality,Surveyed,Frances Baard (DC9),Surveyed,,,,,Northern Cape,Derived,2004.0,North West,Bophirima District Municipality,Dr Ruth Segomotsi Mompati (DC39),,"Full-time scholar or student at school, university, college or another educational institution",,,,,,,,,,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,No,,,,Grade 9 (Std. 7/Form 2),Surveyed,,2016.0,Surveyed,,No,Surveyed,,,,Yes,,Grade 10 (Std. 8/Form 3),,,,,,Very good,No,No,No,No,No,No,No,No,,,,,,No,No,Setswana,,,,Friendly,Very attentive,No other person within hearing range at any time,No,,,,Very good
447,Successfully Interviewed,503144,405373,Yes,24th,May,2017.0,125,,,,,,323977.0,Studying away from home,,2008 sample,7.0,October,1996.0,Male,African,,"No, no spouse or partner",,,,No,,,,Setswana,,7 Nights,30 Nights,Yes,Northern Cape,Surveyed,Frances Baard District Municipality,Surveyed,Frances Baard (DC9),Surveyed,,,,,Missing,Derived,2004.0,North West,Bophirima District Municipality,Dr Ruth Segomotsi Mompati (DC39),,"Full-time scholar or student at school, university, college or another educational institution",,,,,,,,,,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,Grade 11 (Std. 9/Form 4),Surveyed,,2016.0,Surveyed,,No,Surveyed,,,,Yes,,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),,,,,,Very good,No,No,No,No,No,No,No,No,,,,,,Yes,No,Setswana,,,,Friendly,Very attentive,No other person within hearing range at any time,No,,,,Very good
448,Successfully Interviewed,503145,406181,Yes,6th,November,2017.0,50,,,,,,316470.0,"In an institution (e.g. hospital, prison)",,2008 sample,12.0,July,1995.0,Female,African,,"No, no spouse or partner",,,,No,,,,IsiXhosa,,0 Nights,10 Nights,No,,,,,,,,,,,,,,,,,,"Full-time scholar or student at school, university, college or another educational institution",,,,,,,,,,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Surveyed,,2013.0,Surveyed,,No,Surveyed,,,,Yes,,Diploma not requiring Grade 12/Std. 10,,Commerce/management,,No,,Very good,No,No,No,No,No,No,No,No,,,,,,No,No,IsiXhosa,,,,Friendly,Very attentive,No other person within hearing range at any time,No,,,,Very good
